
Episode 191: steps = 19, reward = 100, avg_plan_time = 0.0426906980574131, avg_dist = 0.11046652683137544
Episode 192: steps = 199, reward = 0, avg_plan_time = 0.03487213461659849, avg_dist = 0.05428592973750753
Episode 193: steps = 199, reward = 0, avg_plan_time = 0.03208795982412994, avg_dist = 0.03518889622577864
Episode 194: steps = 199, reward = 0, avg_plan_time = 0.031213355381041766, avg_dist = 0.03495392528710937
Episode 195: steps = 17, reward = 100, avg_plan_time = 0.031939420538643994, avg_dist = 0.06797406015587143
Episode 196: steps = 199, reward = 0, avg_plan_time = 0.03390855951234698, avg_dist = 0.03921776152745172
Episode 197: steps = 23, reward = 100, avg_plan_time = 0.03286568308249116, avg_dist = 0.16681094945510977
Episode 198: steps = 199, reward = -100, avg_plan_time = 0.03259951498359442, avg_dist = 0.10275762942262454
Episode 199: steps = 16, reward = 100, avg_plan_time = 0.03334064398180036, avg_dist = 0.09415878131808868
Episode 200: steps = 199, reward = 0, avg_plan_time = 0.029926654398441315, avg_dist = 0.03848408380715354
Episode 201: steps = 24, reward = 100, avg_plan_time = 0.02951375186443329, avg_dist = 0.09272234615738086
Episode 202: steps = 20, reward = 100, avg_plan_time = 0.034106040018655005, avg_dist = 0.1100379006740592
Episode 203: steps = 20, reward = 100, avg_plan_time = 0.03558840984035106, avg_dist = 0.09496224290935683
Episode 204: steps = 199, reward = 0, avg_plan_time = 0.034276344617828726, avg_dist = 0.041394688866894847
Episode 205: steps = 18, reward = 100, avg_plan_time = 0.03226473554968834, avg_dist = 0.09183198161986943
Episode 206: steps = 22, reward = 100, avg_plan_time = 0.03288299606546112, avg_dist = 0.08314930674837213
Episode 207: steps = 199, reward = 0, avg_plan_time = 0.03383027079515159, avg_dist = 0.036496140352466316
Episode 208: steps = 199, reward = 0, avg_plan_time = 0.034020692454650996, avg_dist = 0.03884719617932741
Episode 209: steps = 199, reward = 0, avg_plan_time = 0.032361081391572954, avg_dist = 0.027687383876660938
Episode 210: steps = 199, reward = 0, avg_plan_time = 0.03375184095464647, avg_dist = 0.046263168143215155
Episode 211: steps = 21, reward = 100, avg_plan_time = 0.03882559414275668, avg_dist = 0.08434260677913354
Episode 212: steps = 199, reward = 0, avg_plan_time = 0.034191585900262, avg_dist = 0.03087166063351089
Episode 213: steps = 199, reward = -300, avg_plan_time = 0.033161097262054684, avg_dist = 0.10575471292035443
Episode 214: steps = 24, reward = 100, avg_plan_time = 0.03295547991991043, avg_dist = 0.08588992439026813
Episode 215: steps = 18, reward = 100, avg_plan_time = 0.03400353342294693, avg_dist = 0.10596489714409946
